,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels,average_rating,ratings_count,text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
4,8916,0.9077580940745266,0.9155480984340044,0.0048307623906781,0.1482048065235021,0.0369986468523598,0.0029099464909937,1357.9477344100494,1,4.25,3198671,72586,60427,117415,446835,1001952,1714267
55,7274,0.7405823661168804,0.7940177849636216,0.0024375748182752,0.1836168220953193,0.0331922170758683,0.001424742559963,1507.6553478141325,1,3.97,1022601,20095,26367,60328,219895,389379,383166
8,8307,0.8457544288332315,0.8663667636940989,0.003662507787513,0.1611384583035824,0.0358188248735776,0.0022129358747294,1414.7361261586614,1,3.79,2044241,44920,109383,185520,455042,661516,709176
550,3664,0.3730401140297292,0.6146433041301627,0.0003308719661161,0.3246526101329595,0.0212615628629034,0.0003220584642834,1988.8504366812224,1,4.17,133271,11843,1566,4451,22055,58252,61340
1714,2318,0.2360008144980655,0.566893685790142,9.807936693784752e-05,0.4258865429136707,0.0152645079873639,0.0001513966712299,2334.9943917169976,1,3.98,58836,1750,364,1910,14429,27340,18137
118,5647,0.5749338220321727,0.7017217975280418,0.0010819142520136,0.2355915990490469,0.0287654711934101,0.0008116233500647,1705.8971135115992,1,3.9,515090,6708,14802,30197,116748,195930,167566
848,2888,0.294033801669721,0.5861780854619241,0.0001684851160865,0.3809248066842767,0.0180115159392861,0.0002106396150582,2182.0131578947367,1,3.98,99926,2871,730,3502,23935,46287,30820
867,2547,0.2593158216249236,0.5744867520617652,0.000115007995553,0.4184119388180911,0.0163628682886759,0.0002197981773624,2250.0844130349437,1,3.91,98379,9622,2251,7414,22791,35939,35075
10,8275,0.8424964365709632,0.8639282258773858,0.0039801094970937,0.1595925941342844,0.0354308613245483,0.0019608537381487,1409.8218731117825,1,4.24,2035490,49152,54700,86485,284852,609755,1155673
2136,2173,0.2212380370596619,0.5621887699616507,8.264919057711846e-05,0.4371713283483299,0.0144617133599851,0.000132328318763,2375.988034974689,1,3.07,53128,3866,4240,12024,21969,12944,5656
